# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
2540.22	70.03	94.82				2420.70	225.49	84.47	327.42	7.83	-1632.86	OK
2553.83	71.60	97.42				2425.17	236.88	83.10	340.20	6.42	-1637.33	OK
2567.43	72.61	98.34				2429.35	248.53	81.33	353.02	2.95	-1641.51	OK
2581.01	73.06	98.85				2433.36	260.27	79.39	365.85	1.47	-1645.52	OK
2594.61	74.15	98.71				2437.20	272.11	77.40	378.74	2.42	-1649.36	OK
2608.24	77.36	100.42				2440.55	284.16	75.20	391.77	7.95	-1652.71	OK
2621.84	81.25	102.29				2443.08	296.52	72.57	404.87	9.49	-1655.24	OK
2635.49	84.73	104.21				2444.74	309.21	69.46	418.05	8.72	-1656.90	OK
2649.09	86.27	104.68				2445.81	322.01	66.08	431.18	3.55	-1657.97	OK
2662.69	88.03	104.60				2446.48	334.84	62.65	444.32	3.89	-1658.64	OK
2694.03	89.85	104.28				2447.06	364.42	54.83	474.66	1.77	-1659.22	OK
2721.24	88.58	105.90				2447.44	390.20	47.75	500.93	2.27	-1659.60	OK
2748.50	88.67	109.22				2448.09	416.38	39.53	526.91	3.65	-1660.25	OK
2775.84	89.20	112.20				2448.60	443.01	29.87	552.48	3.32	-1660.76	OK
2803.03	87.84	114.17				2449.30	469.73	19.16	577.46	2.64	-1661.46	OK
2830.06	87.50	116.16				2450.40	496.44	7.68	601.90	2.24	-1662.56	OK
2857.34	88.98	118.36				2451.24	523.53	-4.81	626.14	2.91	-1663.40	OK
2884.59	87.90	121.41				2451.98	550.70	-18.38	649.76	3.56	-1664.14	OK
2911.72	91.11	124.49				2452.22	577.82	-33.13	672.51	4.92	-1664.38	OK
2938.93	88.37	127.54				2452.34	605.00	-49.13	694.52	4.52	-1664.50	OK
2966.25	89.63	130.82				2452.82	632.19	-66.38	715.69	3.86	-1664.98	OK
2993.39	89.85	130.34				2452.94	659.14	-84.03	736.30	0.58	-1665.10	OK
3020.53	90.22	130.49				2452.92	686.09	-101.63	756.97	0.44	-1665.08	OK
3048.73	88.77	130.04				2453.17	714.10	-119.86	778.48	1.62	-1665.33	OK
3076.97	89.97	129.86				2453.48	742.18	-137.99	800.13	1.29	-1665.64	OK
3104.77	88.80	131.16				2453.78	769.78	-156.04	821.26	1.89	-1665.94	OK
3132.57	90.28	130.56				2454.00	797.36	-174.23	842.29	1.72	-1666.16	OK
3160.92	90.77	132.51				2453.74	825.44	-193.03	863.51	2.13	-1665.90	OK
3189.32	89.20	132.18				2453.75	853.52	-212.16	884.50	1.69	-1665.91	OK
3217.31	90.59	132.73				2453.80	881.18	-231.05	905.15	1.60	-1665.96	OK
3245.06	91.23	133.32				2453.36	908.56	-249.98	925.43	0.94	-1665.52	OK
3272.76	90.62	132.71				2452.91	935.90	-268.87	945.68	0.93	-1665.07	OK
3300.88	90.71	132.49				2452.59	963.68	-287.91	966.38	0.25	-1664.75	OK
3329.07	90.31	132.53				2452.34	991.53	-306.95	987.16	0.43	-1664.50	OK
3357.37	90.55	133.18				2452.12	1019.47	-326.20	1007.91	0.73	-1664.28	OK
3385.01	90.40	133.03				2451.90	1046.74	-345.09	1028.08	0.23	-1664.06	OK
3413.12	90.22	133.55				2451.74	1074.46	-364.36	1048.55	0.59	-1663.90	OK
3441.27	90.06	131.13				2451.67	1102.29	-383.32	1069.35	2.58	-1663.83	OK
3496.98	90.46	129.90				2451.42	1157.60	-419.51	1111.70	0.70	-1663.58	OK
3524.78	90.37	128.52				2451.22	1185.27	-437.09	1133.24	1.49	-1663.38	OK
3580.58	91.57	128.91				2450.28	1240.85	-471.98	1176.77	0.68	-1662.44	OK
3608.72	90.59	127.71				2449.74	1268.89	-489.42	1198.85	1.65	-1661.90	OK
3637.10	89.41	128.76				2449.74	1297.19	-506.98	1221.14	1.67	-1661.90	OK
3664.91	90.31	128.76				2449.81	1324.89	-524.39	1242.83	0.97	-1661.97	OK
3692.25	89.82	130.03				2449.78	1352.09	-541.75	1263.95	1.49	-1661.94	OK
3719.40	90.28	130.13				2449.76	1379.07	-559.23	1284.73	0.52	-1661.92	OK
3746.58	90.37	129.83				2449.60	1406.09	-576.69	1305.55	0.35	-1661.76	OK
3773.89	89.85	131.15				2449.55	1433.21	-594.42	1326.32	1.56	-1661.71	OK
3801.19	89.60	130.80				2449.68	1460.29	-612.32	1346.93	0.47	-1661.84	OK
3828.37	89.20	131.45				2449.97	1487.24	-630.20	1367.41	0.84	-1662.13	OK
3855.56	88.24	130.73				2450.57	1514.20	-648.06	1387.89	1.32	-1662.73	OK
3882.71	90.12	132.46				2450.96	1541.09	-666.08	1408.19	2.82	-1663.12	OK
3909.92	91.11	132.76				2450.67	1567.97	-684.50	1428.22	1.14	-1662.83	OK
3937.07	90.74	133.37				2450.23	1594.75	-703.04	1448.05	0.79	-1662.39	OK
3964.31	91.42	132.58				2449.72	1621.63	-721.61	1467.98	1.15	-1661.88	OK
