# MD(mKB)	Incl(deg)	Azm(deg)	Grav(g)	Mag(Gs)	DipA(deg)	TVD(mKB)	VS(m)	NS(m)	EW(m)	DLS(deg/30m)	SS(m)	Status
2039.22	1.69	77.41				2039.07	0.04	0.14	2.98	0.87	-1242.14	OK
2066.43	0.98	118.05				2066.27	0.00	0.12	3.58	1.26	-1269.34	OK
2093.57	0.94	124.59				2093.41	-0.25	-0.11	3.97	0.13	-1296.48	OK
2120.79	0.60	244.76				2120.62	-0.43	-0.30	4.02	1.48	-1323.69	OK
2148.08	0.41	73.11				2147.91	-0.47	-0.33	3.99	1.11	-1350.98	OK
2175.41	1.04	66.59				2175.24	-0.35	-0.21	4.31	0.70	-1378.31	OK
2202.63	0.68	205.40				2202.46	-0.40	-0.26	4.46	1.78	-1405.53	OK
2229.88	0.81	202.63				2229.71	-0.72	-0.58	4.32	0.15	-1432.78	OK
2257.01	0.90	79.26				2256.84	-0.86	-0.72	4.46	1.67	-1459.91	OK
2284.21	2.38	55.41				2284.02	-0.53	-0.36	5.13	1.76	-1487.09	OK
2297.86	2.82	48.39				2297.66	-0.16	0.03	5.62	1.19	-1500.73	OK
2311.36	4.89	7.36				2311.13	0.62	0.82	5.94	7.39	-1514.20	OK
2325.01	8.37	353.81				2324.69	2.19	2.38	5.90	8.33	-1527.76	OK
2338.54	10.22	346.26				2338.04	4.34	4.53	5.51	4.90	-1541.11	OK
2352.19	10.74	344.93				2351.46	6.77	6.93	4.89	1.26	-1554.53	OK
2365.52	13.32	345.58				2364.50	9.48	9.62	4.19	5.81	-1567.57	OK
2379.17	16.59	343.21				2377.69	12.90	13.01	3.23	7.31	-1580.76	OK
2392.80	22.18	341.46				2390.54	17.25	17.32	1.85	12.37	-1593.61	OK
2406.45	25.88	340.37				2403.00	22.55	22.57	0.03	8.19	-1606.07	OK
2419.92	28.04	340.85				2415.01	28.38	28.33	-1.99	4.84	-1618.08	OK
2433.57	29.81	342.26				2426.96	34.71	34.59	-4.08	4.17	-1630.03	OK
2447.11	31.32	344.46				2438.61	41.36	41.19	-6.05	4.16	-1641.68	OK
2460.76	33.98	346.14				2450.11	48.55	48.31	-7.91	6.18	-1653.18	OK
2474.27	37.93	345.92				2461.04	56.30	56.01	-9.83	8.78	-1664.11	OK
2487.92	43.36	346.97				2471.39	65.01	64.65	-11.91	12.03	-1674.46	OK
2501.55	48.13	347.37				2480.90	74.59	74.16	-14.07	10.52	-1683.97	OK
2515.20	50.28	348.73				2489.82	84.76	84.27	-16.21	5.24	-1692.89	OK
2528.85	52.02	348.83				2498.38	95.25	94.70	-18.28	3.83	-1701.45	OK
2542.50	56.16	348.81				2506.39	106.16	105.54	-20.42	9.10	-1709.46	OK
2556.20	60.05	350.36				2513.62	117.66	116.98	-22.52	8.99	-1716.69	OK
2569.85	64.37	350.64				2519.99	129.63	128.89	-24.51	9.51	-1723.06	OK
2583.50	67.96	350.30				2525.50	142.00	141.20	-26.58	7.92	-1728.57	OK
2597.15	70.70	349.66				2530.32	154.64	153.77	-28.80	6.16	-1733.39	OK
2610.78	73.52	349.44				2534.51	167.47	166.53	-31.16	6.22	-1737.58	OK
2624.05	76.89	350.98				2537.89	180.18	179.17	-33.34	8.33	-1740.96	OK
2641.66	80.62	351.77				2541.33	197.33	196.24	-35.92	6.49	-1744.40	OK
2655.31	83.61	351.32				2543.20	210.76	209.62	-37.91	6.64	-1746.27	OK
2668.85	85.56	352.10				2544.48	224.15	222.95	-39.86	4.65	-1747.55	OK
2696.01	88.98	350.66				2545.77	251.09	249.77	-43.92	4.10	-1748.84	OK
2723.29	87.94	350.45				2546.50	278.12	276.67	-48.40	1.17	-1749.57	OK
2750.59	89.66	351.62				2547.08	305.21	303.63	-52.65	2.29	-1750.15	OK
2777.94	93.11	351.03				2546.42	332.36	330.66	-56.77	3.84	-1749.49	OK
2805.24	92.80	350.18				2545.01	359.39	357.55	-61.22	0.99	-1748.08	OK
2832.52	91.94	349.45				2543.88	386.36	384.38	-66.04	1.24	-1746.95	OK
2859.81	91.29	349.08				2543.11	413.31	411.18	-71.12	0.82	-1746.18	OK
2887.10	88.98	348.88				2543.05	440.26	437.97	-76.34	2.55	-1746.12	OK
2914.37	88.03	348.84				2543.76	467.16	464.71	-81.61	1.05	-1746.83	OK
2941.62	88.86	349.99				2544.50	494.09	491.49	-86.61	1.56	-1747.57	OK
2968.98	88.80	350.05				2545.06	521.17	518.43	-91.35	0.09	-1748.13	OK
2996.35	89.48	350.74				2545.47	548.29	545.41	-95.92	1.06	-1748.54	OK
3023.53	90.22	350.09				2545.54	575.23	572.21	-100.44	1.09	-1748.61	OK
3050.75	90.96	350.69				2545.26	602.20	599.05	-104.99	1.05	-1748.33	OK
3079.42	93.85	353.11				2544.05	630.67	627.40	-109.02	3.94	-1747.12	OK
3107.37	93.95	354.98				2542.15	658.49	655.14	-111.92	2.01	-1745.22	OK
3135.38	92.87	357.17				2540.49	686.43	683.03	-113.83	2.61	-1743.56	OK
3149.03	92.65	357.09				2539.83	700.06	696.65	-114.51	0.51	-1742.90	OK
3163.56	89.88	358.09				2539.51	714.58	711.16	-115.12	6.08	-1742.58	OK
3177.21	87.26	359.38				2539.85	728.23	724.80	-115.42	6.42	-1742.92	OK
3191.54	87.90	1.63				2540.46	742.53	739.12	-115.30	4.89	-1743.53	OK
3219.56	89.20	2.37				2541.16	770.48	767.11	-114.32	1.60	-1744.23	OK
3247.71	90.37	3.07				2541.27	798.53	795.23	-112.98	1.45	-1744.34	OK
3275.93	89.91	2.36				2541.20	826.66	823.41	-111.65	0.90	-1744.27	OK
3303.86	89.20	2.28				2541.42	854.52	851.32	-110.52	0.77	-1744.49	OK
3331.95	89.38	1.11				2541.77	882.55	879.39	-109.69	1.26	-1744.84	OK
3360.08	91.33	0.97				2541.59	910.64	907.52	-109.18	2.08	-1744.66	OK
3387.81	91.60	357.92				2540.88	938.35	935.23	-109.44	3.31	-1743.95	OK
3415.92	91.97	359.44				2540.01	966.44	963.32	-110.09	1.67	-1743.08	OK
3444.12	92.59	359.06				2538.89	994.61	991.50	-110.46	0.77	-1741.96	OK
3472.00	92.37	0.54				2537.68	1022.46	1019.35	-110.56	1.61	-1740.75	OK
3500.08	91.69	0.27				2536.68	1050.50	1047.41	-110.36	0.78	-1739.75	OK
3528.23	90.03	0.73				2536.26	1078.62	1075.56	-110.11	1.84	-1739.33	OK
3556.41	89.45	0.73				2536.39	1106.77	1103.73	-109.75	0.62	-1739.46	OK
3584.70	90.34	1.17				2536.44	1135.02	1132.02	-109.29	1.05	-1739.51	OK
3612.91	90.83	0.86				2536.15	1163.19	1160.22	-108.79	0.62	-1739.22	OK
3640.68	91.60	359.96				2535.56	1190.93	1187.99	-108.59	1.28	-1738.63	OK
3667.91	91.23	0.44				2534.89	1218.14	1215.21	-108.49	0.67	-1737.96	OK
3695.24	91.39	359.68				2534.27	1245.44	1242.53	-108.46	0.85	-1737.34	OK
3722.43	91.14	0.98				2533.67	1272.61	1269.71	-108.31	1.46	-1736.74	OK
3749.66	90.00	359.96				2533.40	1299.81	1296.94	-108.08	1.69	-1736.47	OK
3776.96	90.25	0.18				2533.34	1327.09	1324.24	-108.05	0.37	-1736.41	OK
3804.24	89.17	359.84				2533.47	1354.36	1351.52	-108.05	1.25	-1736.54	OK
