Hole Depth,Bit Depth,On Bottom,On Bottom Hours,On Bottom ROP,Mechanical Specific Energy,Block Height,Hook Load,Trip Speed,Weight on Bit,Differential Pressure,Rotary RPM,Rotary Torque,Total Pump Output,Standpipe Pressure,Gamma,Inclination,Azimuth,Tool Face,Magnetic Toolface,Gravity Toolface,Rig Sub State,Bit Depth,MWD Continuous Azi,MWD Continuous Inc,MWD TEMP (deg),Rate Of Penetration,Time Of Penetration,YYYY/MM/DD,HH:MM:SS
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.3,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:35:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:35:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:35:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:35:50
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:36:00
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:36:10
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:36:20
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:36:30
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:36:40
5565.00,5555.28,0,76.0,0.00,-999.25,4.9,16.2,0.00,0.0,-23170.9,0,0.000,0.00,0,-999.25,89.26,2.06,134.75,94.67,134.75,0.00,5555.28,0.00,3735.00,98.440,0.00,0.00,2023/04/03,16:36:50
